Departamento,Municipio,TotalAccidentes
SANTANDER,PÁRAMO,7
ANTIOQUIA,JARDÍN,7
NARIÑO,ARBOLEDA,7
CUNDINAMARCA,NOCAIMA,7
CAQUETÁ,CURILLO,7
TOLIMA,PALOCABILDO,7
BOYACÁ,CORRALES,7
BOYACÁ,GÜICÁN,7
SUCRE,GUARANDA,7
BOYACÁ,ZETAQUIRA,7
BOLÍVAR,SAN MARTÍN DE LOBA,7
HUILA,IQUIRA,7
CÓRDOBA,SAN JOSÉ DE URÉ,7
META,CABUYARO,7
HUILA,SANTA MARÍA,7
ANTIOQUIA,SAN PEDRO DE URABÁ,7
CALDAS,SAN JOSÉ,7
TOLIMA,FALAN,7
NARIÑO,SAN PEDRO DE CARTAGO,7
TOLIMA,SANTA ISABEL,7
CUNDINAMARCA,NARIÑO,7
BOYACÁ,TIBANÁ,7
BOYACÁ,LABRANZAGRANDE,7
BOYACÁ,CALDAS,7
BOYACÁ,SANTA SOFÍA,7
BOYACÁ,SUTATENZA,7
BOYACÁ,PESCA,7
NARIÑO,NARIÑO,6
CUNDINAMARCA,UNE,6
SANTANDER,ENCISO,6
META,EL DORADO,6
SANTANDER,GUACA,6
BOYACÁ,CHIVATÁ,6
NORTE DE SANTANDER,HACARÍ,6
CUNDINAMARCA,MACHETA,6
SUCRE,COLOSO,6
HUILA,ELÍAS,6
HUILA,SALADOBLANCO,6
ANTIOQUIA,SAN CARLOS,6
SANTANDER,CONFINES,6
NARIÑO,LINARES,6
NARIÑO,POTOSÍ,6
CHOCÓ,CONDOTO,6
SANTANDER,BOLÍVAR,6
BOYACÁ,BUENAVISTA,6
NORTE DE SANTANDER,EL CARMEN,6
SANTANDER,CONCEPCIÓN,6
ANTIOQUIA,FRONTINO,6
RISARALDA,GUÁTICA,6
BOYACÁ,MUZO,6
META,URIBE,6
SANTANDER,VALLE DE SAN JOSÉ,6
SANTANDER,SAN JOSÉ DE MIRANDA,6
BOYACÁ,TINJACÁ,6
ANTIOQUIA,BRICEÑO,6
BOYACÁ,JERICÓ,6
BOYACÁ,MONGUA,6
BOLÍVAR,MONTECRISTO,6
BOYACÁ,MARIPÍ,6
BOYACÁ,QUÍPAMA,6
SANTANDER,SUCRE,6
CUNDINAMARCA,PAIME,6
BOLÍVAR,ACHÍ,6
SANTANDER,CERRITO,6
SUCRE,LA UNIÓN,5
BOYACÁ,BOYACÁ,5
NARIÑO,CUASPUD,5
CUNDINAMARCA,PASCA,5
ANTIOQUIA,GUATAPÉ,5
VALLE,EL ÁGUILA,5
NARIÑO,ALBÁN,5
NARIÑO,LA FLORIDA,5
BOLÍVAR,ARENAL,5
CUNDINAMARCA,GUTIÉRREZ,5
SUCRE,GALERAS,5
BOYACÁ,RÁQUIRA,5
BOYACÁ,EL ESPINO,5
SANTANDER,BARICHARA,5
ARAUCA,CRAVO NORTE,5
TOLIMA,VILLAHERMOSA,5
META,LA MACARENA,5
ANTIOQUIA,CAMPAMENTO,5
NARIÑO,GUALMATÁN,5
CALDAS,FILADELFIA,5
NORTE DE SANTANDER,VILLA CARO,5
ANTIOQUIA,ANGELÓPOLIS,5
BOYACÁ,MACANAL,5
BOYACÁ,TENZA,5
ANTIOQUIA,SAN FRANCISCO,5
NORTE DE SANTANDER,GRAMALOTE,5
CUNDINAMARCA,BELTRÁN,5
BOLÍVAR,CANTAGALLO,5
BOYACÁ,SATIVANORTE,5
BOYACÁ,VIRACACHÁ,5
BOYACÁ,JENESANO,5
ANTIOQUIA,PEQUE,5
CUNDINAMARCA,GUAYABAL DE SIQUIMA,5
CAUCA,SAN SEBASTIÁN,5
BOLÍVAR,PINILLOS,5
BOYACÁ,FLORESTA,5
SANTANDER,PALMAS DEL SOCORRO,5
BOYACÁ,PAUNA,5
BOLÍVAR,SAN FERNANDO,5
BOYACÁ,CHÍQUIZA,4
NARIÑO,LEIVA,4
TOLIMA,CUNDAY,4
VALLE,VERSALLES,4
SANTANDER,MOLAGAVITA,4
BOLÍVAR,HATILLO DE LOBA,4
SANTANDER,VILLANUEVA,4
ANTIOQUIA,TÁMESIS,4
BOLÍVAR,TIQUISIO,4
BOYACÁ,SAN MIGUEL DE SEMA,4
SANTANDER,MATANZA,4
BOLÍVAR,CÓRDOBA,4
CUNDINAMARCA,GACHETÁ,4
SUCRE,PALMITO,4
ANTIOQUIA,CAICEDO,4
SANTANDER,EL PEÑÓN,4
BOYACÁ,CHINAVITA,4
SUCRE,EL ROBLE,4
ATLÁNTICO,SANTA LUCÍA,4
ANTIOQUIA,SAN RAFAEL,4
ANTIOQUIA,EBÉJICO,4
MAGDALENA,CHIBOLO,4
CALDAS,NORCASIA,4
CHOCÓ,SAN JOSÉ DEL PALMAR,4
MAGDALENA,SABANAS DE SAN ANGEL,4
CAQUETÁ,VALPARAÍSO,4
BOLÍVAR,MORALES,4
VALLE,EL CAIRO,4
SANTANDER,CEPITÁ,4
MAGDALENA,REMOLINO,4
BOYACÁ,GUAYATÁ,4
BOLÍVAR,BARRANCO DE LOBA,4
BOYACÁ,TURMEQUÉ,4
BOYACÁ,BOAVITA,4
CAUCA,ALMAGUER,4
NORTE DE SANTANDER,ARBOLEDAS,4
MAGDALENA,ZAPAYÁN,4
CUNDINAMARCA,FOSCA,4
CUNDINAMARCA,VIANÍ,4
BOLÍVAR,RÍO VIEJO,3
CUNDINAMARCA,ZIPACÓN,3
HUILA,OPORAPA,3
NARIÑO,FUNES,3
CUNDINAMARCA,AGUA DE DIOS,3
ANTIOQUIA,CAROLINA,3
SUCRE,BUENAVISTA,3
NARIÑO,BELÉN,3
ANTIOQUIA,PUEBLORRICO,3
BOLÍVAR,NOROSÍ,3
CUNDINAMARCA,QUIPILE,3
CUNDINAMARCA,NIMAIMA,3
BOLÍVAR,ARROYOHONDO,3
ANTIOQUIA,TOLEDO,3
CUNDINAMARCA,CHAGUANÍ,3
SANTANDER,JESÚS MARÍA,3
BOYACÁ,PÁEZ,3
CUNDINAMARCA,UBALÁ,3
CUNDINAMARCA,TIBIRITA,3
RISARALDA,LA CELIA,3
NARIÑO,SAN LORENZO,3
MAGDALENA,PIJIÑO DEL CARMEN,3
ANTIOQUIA,ANGOSTURA,3
ANTIOQUIA,GUADALUPE,3
BOYACÁ,UMBITA,3
ANTIOQUIA,NECHÍ,3
CAQUETÁ,SOLITA,3
MAGDALENA,TENERIFE,3
SUCRE,CHALÁN,3
BOYACÁ,LA UVITA,3
PUTUMAYO,PUERTO GUZMÁN,3
HUILA,NÁTAGA,3
BOYACÁ,CIÉNEGA,3
CUNDINAMARCA,EL PEÑÓN,3
CUNDINAMARCA,FOMEQUE,3
SANTANDER,ALBANIA,3
SANTANDER,MACARAVITA,3
SANTANDER,CHARTA,3
CAUCA,SUCRE,3
VICHADA,SANTA ROSALÍA,3
CUNDINAMARCA,BITUIMA,3
NARIÑO,OSPINA,3
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,3
SANTANDER,FLORIÁN,3
BOYACÁ,ALMEIDA,3
CUNDINAMARCA,CARMEN DE CARUPA,3
VAUPÉS,MITÚ (CT),3
NARIÑO,EL CHARCO,3
CUNDINAMARCA,TIBACUY,3
BOLÍVAR,EL GUAMO,2
TOLIMA,CASABIANCA,2
TOLIMA,ALPUJARRA,2
SANTANDER,GUADALUPE,2
BOLÍVAR,SOPLAVIENTO,2
NARIÑO,PROVIDENCIA,2
CUNDINAMARCA,SAN CAYETANO,2
BOYACÁ,MONGUÍ,2
NORTE DE SANTANDER,LABATECA,2
CHOCÓ,ACANDÍ,2
SANTANDER,CHIPATÁ,2
BOYACÁ,GACHANTIVÁ,2
ANTIOQUIA,ALEJANDRÍA,2
SANTANDER,OCAMONTE,2
NORTE DE SANTANDER,LOURDES,2
BOLÍVAR,ALTOS DEL ROSARIO,2
CUNDINAMARCA,ÚTICA,2
BOYACÁ,RONDÓN,2
CHOCÓ,NÓVITA,2
VALLE,ULLOA,2
SANTANDER,LA PAZ,2
BOLÍVAR,SAN JACINTO DEL CAUCA,2
BOLÍVAR,REGIDOR,2
BOYACÁ,SAN EDUARDO,2
CUNDINAMARCA,LA PEÑA,2
GUAVIARE,MIRAFLORES,2
NORTE DE SANTANDER,DURANIA,2
BOYACÁ,MIRAFLORES,2
NARIÑO,CUMBITARA,2
META,SAN JUANITO,2
SANTANDER,GALÁN,2
MAGDALENA,SANTA BÁRBARA DE PINTO,2
BOYACÁ,TOGÜÍ,2
SANTANDER,JORDÁN,2
NORTE DE SANTANDER,RAGONVALIA,2
BOYACÁ,PAZ DE RÍO,2
CUNDINAMARCA,UBAQUE,2
CUNDINAMARCA,SUPATÁ,2
CUNDINAMARCA,VERGARA,2
SANTANDER,GUAVATÁ,2
SANTANDER,CABRERA,2
CUNDINAMARCA,QUEBRADANEGRA,2
BOYACÁ,BRICEÑO,2
BOYACÁ,PANQUEBA,2
BOYACÁ,COPER,2
CUNDINAMARCA,PULÍ,2
ANTIOQUIA,GRANADA,2
NARIÑO,LA LLANADA,2
SANTANDER,SANTA BÁRBARA,2
SANTANDER,SAN BENITO,2
CAUCA,GUAPI,2
BOYACÁ,SATIVASUR,2
CHOCÓ,LLORÓ,2
CASANARE,RECETOR,2
TOLIMA,VILLARRICA,2
ANTIOQUIA,VIGÍA DEL FUERTE,2
CHOCÓ,MEDIO SAN JUAN,2
CUNDINAMARCA,VILLAGÓMEZ,2
CHOCÓ,UNGUÍA,2
MAGDALENA,CHIVOLO,2
ANTIOQUIA,CARACOLÍ,2
BOLÍVAR,MARGARITA,1
CUNDINAMARCA,CABRERA,1
SANTANDER,SAN JOAQUÍN,1
NARIÑO,EL PEÑOL,1
ANTIOQUIA,MONTEBELLO,1
MAGDALENA,EL PIÑON,1
NARIÑO,ANCUYÁ,1
SANTANDER,SAN MIGUEL,1
CAUCA,PIAMONTE,1
BOYACÁ,CHISCAS,1
CHOCÓ,BAGADÓ,1
BOYACÁ,GUACAMAYAS,1
BOYACÁ,CAMPOHERMOSO,1
BOYACÁ,BETÉITIVA,1
CUNDINAMARCA,PANDI,1
BOYACÁ,LA CAPILLA,1
BOYACÁ,LA VICTORIA,1
SUCRE,SUCRE,1
SANTANDER,ENCINO,1
BOYACÁ,COVARACHÍA,1
BOYACÁ,BERBEO,1
CALDAS,MARULANDA,1
BOYACÁ,NUEVO COLÓN,1
BOYACÁ,CHIVOR,1
SANTANDER,CALIFORNIA,1
SANTANDER,LA BELLEZA,1
ANTIOQUIA,HELICONIA,1
NORTE DE SANTANDER,SANTIAGO,1
NARIÑO,SAN BERNARDO,1
BOYACÁ,PACHAVITA,1
ANTIOQUIA,ABRIAQUÍ,1
BOYACÁ,EL COCUY,1
TOLIMA,RONCESVALLES,1
MAGDALENA,PEDRAZA,1
META,MAPIRIPÁN,1
NARIÑO,OLAYA HERRERA,1
CHOCÓ,EL CANTÓN DEL SAN PABLO,1
CUNDINAMARCA,GAMA,1
CAQUETÁ,MILÁN,1
CHOCÓ,BOJAYÁ,1
CHOCÓ,BAJO BAUDÓ,1
CAUCA,LÓPEZ,1
CHOCÓ,CARMEN DEL DARIEN,1
CAUCA,TIMBIQUÍ,1
ANTIOQUIA,CONCEPCIÓN,1
BOLÍVAR,EL PEÑÓN,1
CHOCÓ,ALTO BAUDÓ,1
NARIÑO,ROBERTO PAYÁN,1
CHOCÓ,MEDIO BAUDÓ,1
CASANARE,CHAMEZA,1
